AGE,EXPECTED_BUTTON,GENDER,HANDEDNESS,HAS_DISTRACTION,ORDER,PARTICIPANT,PRESSED_KEY,REACTION_TIME,REPETITIONS,SIGNAL_MODE,TIMESTAMP,TIME_BETWEEN_SIGNALS_MS,WAS_CORRECT_BUTTON
23,V,Female,Right,False,"[1-2-3-4]",1,V,0.4300272465,10,pre-attentive,1462121412.76437,1000,True
23,B,Female,Right,False,"[1-2-3-4]",1,B,0.4785161018,10,pre-attentive,1462121414.24658,1000,True
23,V,Female,Right,False,"[1-2-3-4]",1,V,0.2986505032,10,pre-attentive,1462121415.55023,1000,True
23,V,Female,Right,False,"[1-2-3-4]",1,B,0.2768242359,10,pre-attentive,1462121416.83017,1000,False
23,V,Female,Right,False,"[1-2-3-4]",1,B,0.4606769085,10,pre-attentive,1462121418.29412,1000,False
23,V,Female,Right,False,"[1-2-3-4]",1,V,0.4853668213,10,pre-attentive,1462121419.78256,1000,True
23,B,Female,Right,False,"[1-2-3-4]",1,B,0.3542041779,10,pre-attentive,1462121421.14219,1000,True
23,B,Female,Right,False,"[1-2-3-4]",1,V,0.3409690857,10,pre-attentive,1462121422.48618,1000,False
23,V,Female,Right,False,"[1-2-3-4]",1,V,0.4530901909,10,pre-attentive,1462121423.94279,1000,True
23,V,Female,Right,False,"[1-2-3-4]",1,V,0.5126442909,10,pre-attentive,1462121425.46245,1000,True
23,B,Female,Right,True,"[1-2-3-4]",1,B,0.5204722881,10,pre-attentive,1462121457.10221,1000,True
23,B,Female,Right,True,"[1-2-3-4]",1,B,0.1557927132,10,pre-attentive,1462121459.51022,1000,True
23,V,Female,Right,True,"[1-2-3-4]",1,V,0.370994091,10,pre-attentive,1462121460.88669,1000,True
23,V,Female,Right,True,"[1-2-3-4]",1,V,0.4730257988,10,pre-attentive,1462121462.3662,1000,True
23,B,Female,Right,True,"[1-2-3-4]",1,B,0.523845911,10,pre-attentive,1462121463.95077,1000,True
23,B,Female,Right,True,"[1-2-3-4]",1,B,0.4392313957,10,pre-attentive,1462121465.39836,1000,True
23,V,Female,Right,True,"[1-2-3-4]",1,V,0.4800379276,10,pre-attentive,1462121466.94286,1000,True
23,V,Female,Right,True,"[1-2-3-4]",1,B,0.3908877373,10,pre-attentive,1462121468.34236,1000,False
23,V,Female,Right,True,"[1-2-3-4]",1,V,0.4460346699,10,pre-attentive,1462121469.95083,1000,True
23,B,Female,Right,True,"[1-2-3-4]",1,B,0.5198323727,10,pre-attentive,1462121471.47813,1000,True
23,V,Female,Right,False,"[1-2-3-4]",1,V,0.7968828678,10,attentive,1462121503.40627,1000,True
23,V,Female,Right,False,"[1-2-3-4]",1,V,0.5734496117,10,attentive,1462121504.98287,1000,True
23,B,Female,Right,False,"[1-2-3-4]",1,B,0.5765104294,10,attentive,1462121506.56653,1000,True
23,B,Female,Right,False,"[1-2-3-4]",1,B,0.6104178429,10,attentive,1462121508.18266,1000,True
23,V,Female,Right,False,"[1-2-3-4]",1,V,0.5779607296,10,attentive,1462121509.76673,1000,True
23,V,Female,Right,False,"[1-2-3-4]",1,V,0.7459528446,10,attentive,1462121511.51887,1000,True
23,B,Female,Right,False,"[1-2-3-4]",1,V,0.5529465675,10,attentive,1462121513.07874,1000,False
23,B,Female,Right,False,"[1-2-3-4]",1,B,0.841080904,10,attentive,1462121514.9268,1000,True
23,V,Female,Right,False,"[1-2-3-4]",1,V,0.7535898685,10,attentive,1462121516.68674,1000,True
23,B,Female,Right,False,"[1-2-3-4]",1,B,0.6489584446,10,attentive,1462121518.34245,1000,True
23,B,Female,Right,True,"[1-2-3-4]",1,B,0.5938692093,10,attentive,1462121550.23079,1000,True
23,V,Female,Right,True,"[1-2-3-4]",1,V,0.0644550323,10,attentive,1462121551.73452,1000,True
23,B,Female,Right,True,"[1-2-3-4]",1,B,0.6739459038,10,attentive,1462121553.41452,1000,True
23,V,Female,Right,True,"[1-2-3-4]",1,V,0.2385802269,10,attentive,1462121554.95069,1000,True
23,B,Female,Right,True,"[1-2-3-4]",1,B,0.7279121876,10,attentive,1462121556.68677,1000,True
23,B,Female,Right,True,"[1-2-3-4]",1,B,0.6807305813,10,attentive,1462121558.43836,1000,True
23,V,Female,Right,True,"[1-2-3-4]",1,B,0.1436898708,10,attentive,1462121559.93446,1000,False
23,B,Female,Right,True,"[1-2-3-4]",1,V,0.5786166191,10,attentive,1462121561.51871,1000,False
23,B,Female,Right,True,"[1-2-3-4]",1,V,0.6057143211,10,attentive,1462121563.41426,1000,False
23,B,Female,Right,True,"[1-2-3-4]",1,V,0.4412631989,10,attentive,1462121565.31074,1000,False
